Survey,Site,Occasion,cond
1,KFB_UPS,1,243.90
2,KFS_MID,1,285.60
3,KFS_DNS,1,297.00
4,MIB_UPS,1,408.50
5,MIB_MID,1,422.20
6,MIB_DNS,1,430.10
7,FUB_UPS,1,290.60
8,FUB_MID,1,346.30
9,FUB_DNS,1,343.50
10,CAB_UPS,1,435.70
11,CAB_DNS,1,317.50
12,PSB_UPS,1,411.20
13,PSB_DNS,1,424.50
14,GUN_UPS,1,276.50
15,GUN_DNS,1,340.10
16,KFB_UPS,2,255.10
17,KFS_MID,2,280.20
18,KFS_DNS,2,312.10
19,MIB_UPS,2,422.10
20,MIB_MID,2,432.70
21,MIB_DNS,2,430.00
22,FUB_UPS,2,293.20
23,FUB_MID,2,316.60
24,FUB_DNS,2,307.20
25,CAB_UPS,2,427.90
26,CAB_DNS,2,441.40
27,PSB_UPS,2,387.30
28,PSB_DNS,2,388.50
29,GUN_UPS,2,381.10
30,GUN_DNS,2,336.00
31,KFB_UPS,3,378.00
32,KFS_MID,3,316.50
33,KFS_DNS,3,355.00
34,MIB_UPS,3,444.00
35,MIB_MID,3,451.40
36,MIB_DNS,3,445.60
37,FUB_UPS,3,388.30
38,FUB_MID,3,395.00
39,FUB_DNS,3,395.00
40,CAB_UPS,3,449.60
41,CAB_DNS,3,427.90
42,PSB_UPS,3,415.00
43,PSB_DNS,3,326.80
44,GUN_UPS,3,346.20
45,GUN_DNS,3,339.40
46,KFB_UPS,4,262.20
47,KFS_MID,4,298.80
48,KFS_DNS,4,319.60
49,MIB_UPS,4,457.20
50,MIB_MID,4,453.30
51,MIB_DNS,4,451.60
52,FUB_UPS,4,303.60
53,FUB_MID,4,332.50
54,FUB_DNS,4,336.10
55,CAB_UPS,4,256.70
56,CAB_DNS,4,282.10
57,PSB_UPS,4,418.80
58,PSB_DNS,4,400.80
59,GUN_UPS,4,282.90
60,GUN_DNS,4,372.20
61,KFB_UPS,5,253.90
62,KFS_MID,5,357.80
63,KFS_DNS,5,346.90
64,MIB_UPS,5,461.90
65,MIB_MID,5,445.10
66,MIB_DNS,5,450.30
67,FUB_UPS,5,313.50
68,FUB_MID,5,414.00
69,FUB_DNS,5,371.20
70,CAB_UPS,5,346.20
71,CAB_DNS,5,387.70
72,PSB_UPS,5,454.70
73,PSB_DNS,5,438.80
74,GUN_UPS,5,354.20
75,GUN_DNS,5,375.10
76,KFB_UPS,6,264.20
77,KFS_MID,6,378.00
78,KFS_DNS,6,345.10
79,MIB_UPS,6,437.90
80,MIB_MID,6,464.90
81,MIB_DNS,6,451.20
82,FUB_UPS,6,352.00
83,FUB_MID,6,403.00
84,FUB_DNS,6,406.00
85,CAB_UPS,6,462.10
86,CAB_DNS,6,456.20
87,PSB_UPS,6,456.90
88,PSB_DNS,6,435.00
89,GUN_UPS,6,348.10
90,GUN_DNS,6,384.50
91,KFB_UPS,7,269.30
92,KFS_MID,7,279.20
93,KFS_DNS,7,312.60
94,MIB_UPS,7,441.90
95,MIB_MID,7,462.80
96,MIB_DNS,7,449.90
97,FUB_UPS,7,292.70
98,FUB_MID,7,304.00
99,FUB_DNS,7,371.90
100,CAB_UPS,7,448.10
101,CAB_DNS,7,407.10
102,PSB_UPS,7,431.30
103,PSB_DNS,7,311.90
104,GUN_UPS,7,388.30
105,GUN_DNS,7,366.20
106,KFB_UPS,8,286.60
107,KFS_MID,8,324.40
108,KFS_DNS,8,336.20
109,MIB_UPS,8,440.20
110,MIB_MID,8,452.10
111,MIB_DNS,8,466.30
112,FUB_UPS,8,295.70
113,FUB_MID,8,293.20
114,FUB_DNS,8,332.70
115,CAB_UPS,8,459.90
116,CAB_DNS,8,391.80
117,PSB_UPS,8,447.50
118,PSB_DNS,8,379.10
119,GUN_UPS,8,299.30
120,GUN_DNS,8,383.70
121,KFB_UPS,9,309.30
122,KFS_MID,9,298.60
123,KFS_DNS,9,314.50
124,MIB_UPS,9,448.00
125,MIB_MID,9,449.50
126,MIB_DNS,9,463.10
127,FUB_UPS,9,302.20
128,FUB_MID,9,333.30
129,FUB_DNS,9,317.20
130,CAB_UPS,9,441.60
131,CAB_DNS,9,416.50
132,PSB_UPS,9,445.20
133,PSB_DNS,9,395.20
134,GUN_UPS,9,425.60
135,GUN_DNS,9,397.70
136,KFB_UPS,10,292.00
137,KFS_MID,10,304.30
138,KFS_DNS,10,333.10
139,MIB_UPS,10,460.20
140,MIB_MID,10,464.00
141,MIB_DNS,10,463.20
142,FUB_UPS,10,320.80
143,FUB_MID,10,343.30
144,FUB_DNS,10,345.10
145,CAB_UPS,10,
146,CAB_DNS,10,
147,PSB_UPS,10,449.40
148,PSB_DNS,10,364.00
149,GUN_UPS,10,401.00
150,GUN_DNS,10,395.60
151,KFB_UPS,11,292.70
152,KFS_MID,11,293.60
153,KFS_DNS,11,311.70
154,MIB_UPS,11,449.10
155,MIB_MID,11,454.40
156,MIB_DNS,11,461.70
157,FUB_UPS,11,382.60
158,FUB_MID,11,334.70
159,FUB_DNS,11,350.70
160,CAB_UPS,11,
161,CAB_DNS,11,
162,PSB_UPS,11,463.30
163,PSB_DNS,11,404.70
164,GUN_UPS,11,447.40
165,GUN_DNS,11,401.30
